h 	 hh 	 p 	 snp 	 ar 	 war 	 sigma 	 bf 	 like 	 
0.293	0.001	-0.302	3	0.444	0.282	0.928	-1.644	-3.463	
0.680	0.000	-0.341	1	0.444	0.282	3.649	-1.836	-3.046	
0.005	0.002	-0.431	1	0.444	0.282	0.172	0.880	-2.317	
0.135	0.001	-0.212	4	0.445	0.282	0.493	-0.689	-3.367	
0.242	0.001	-0.496	2	0.445	0.282	1.000	-2.039	-2.679	
0.525	0.000	-0.531	1	0.445	0.282	2.634	-2.672	-1.744	
0.020	0.001	-0.462	2	0.445	0.282	0.250	0.210	-2.758	
0.282	0.001	-0.662	1	0.446	0.283	1.569	-2.199	-1.228	
0.105	0.001	-0.586	2	0.446	0.283	0.605	-0.752	-2.550	
0.024	0.000	-0.496	3	0.446	0.283	0.224	0.127	-3.437	
0.040	0.001	-0.473	1	0.446	0.283	0.511	-0.425	-2.051	
0.004	0.001	-0.139	3	0.446	0.283	0.095	0.690	-4.528	
0.227	0.001	-0.134	3	0.446	0.283	0.786	-0.470	-4.599	
0.109	0.002	-0.033	3	0.446	0.283	0.506	0.811	-8.025	
0.064	0.002	-0.191	3	0.446	0.283	0.378	0.848	-3.977	
0.037	0.001	-0.384	4	0.446	0.283	0.207	-0.391	-3.718	
0.010	0.000	-0.298	3	0.446	0.283	0.146	1.509	-3.474	
0.089	0.001	-0.386	2	0.446	0.283	0.556	-0.397	-3.006	
0.013	0.001	-0.206	2	0.446	0.283	0.205	1.067	-4.371	
0.046	0.002	-0.340	1	0.446	0.283	0.551	0.792	-3.052	
0.150	0.002	-0.405	2	0.446	0.283	0.742	1.138	-2.932	
0.378	0.000	-0.481	2	0.446	0.283	1.375	0.544	-2.711	
0.016	0.002	-0.556	1	0.446	0.283	0.316	1.167	-1.630	
0.113	0.001	-0.710	1	0.446	0.283	0.895	0.370	-1.084	
0.007	0.001	-0.775	1	0.446	0.283	0.212	1.091	-0.918	
0.098	0.000	-0.605	2	0.446	0.283	0.586	0.390	-2.535	
0.068	0.001	-0.725	2	0.446	0.283	0.477	-0.127	-2.504	
0.061	0.001	-0.776	1	0.446	0.283	0.640	-0.478	-0.918	
0.004	0.000	-0.467	3	0.446	0.283	0.096	1.517	-3.402	
0.010	0.000	-0.369	2	0.447	0.284	0.175	0.564	-3.082	
0.006	0.000	-0.417	1	0.447	0.284	0.190	1.279	-2.411	
0.286	0.000	-0.303	3	0.447	0.284	0.917	-1.751	-3.462	
0.139	0.001	-0.191	3	0.447	0.284	0.583	-0.781	-3.976	
0.279	0.001	-0.149	3	0.447	0.284	0.726	-3.024	-4.398	
0.623	0.002	-0.247	2	0.448	0.284	2.285	-2.678	-3.909	
0.709	0.001	-0.394	1	0.448	0.284	3.915	-1.920	-2.587	
0.383	0.001	-0.579	2	0.448	0.284	1.399	-1.834	-2.557	
0.060	0.001	-0.393	2	0.448	0.284	0.332	-2.142	-2.979	
0.121	0.001	-0.414	1	0.448	0.284	0.930	-0.881	-2.431	
0.139	0.000	-0.632	1	0.448	0.284	1.008	-1.918	-1.330	
0.002	0.000	-0.588	2	0.448	0.284	0.079	0.585	-2.549	
0.073	0.000	-0.513	2	0.448	0.284	0.498	-2.101	-2.647	
0.019	0.000	-0.666	1	0.448	0.284	0.351	-0.638	-1.216	
0.022	0.000	-0.479	2	0.448	0.284	0.199	-1.820	-2.717	
0.396	0.001	-0.618	2	0.449	0.285	1.434	-2.849	-2.526	
0.117	0.000	-0.440	2	0.449	0.285	0.645	-2.637	-2.817	
0.260	0.001	-0.374	3	0.449	0.285	0.856	-1.838	-3.370	
0.056	0.000	-0.511	2	0.449	0.285	0.432	-0.323	-2.651	
0.116	0.001	-0.559	2	0.448	0.285	0.643	-1.454	-2.579	
0.620	0.002	-0.700	2	0.449	0.285	2.254	-3.011	-2.502	
0.029	0.000	-0.680	2	0.449	0.286	0.309	-1.335	-2.503	
0.456	0.000	-0.519	1	0.449	0.286	2.309	-2.979	-1.801	
0.380	0.001	-0.499	1	0.449	0.286	1.962	-2.724	-1.907	
0.699	0.000	-0.530	1	0.449	0.286	3.817	-3.603	-1.750	
0.490	0.000	-0.560	1	0.449	0.286	2.456	-3.211	-1.609	
0.828	0.000	-0.643	1	0.449	0.286	5.441	-4.799	-1.291	
0.500	0.001	-0.650	1	0.449	0.286	2.523	-3.722	-1.266	
0.022	0.000	-0.579	1	0.449	0.286	0.379	-1.807	-1.530	
0.044	0.000	-0.415	1	0.449	0.286	0.532	-2.614	-2.428	
0.038	0.000	-0.361	2	0.449	0.286	0.350	-2.714	-3.120	
